TBET ,11,3,2,7,5,12,1,,,,
IFNG ,BCL6, GATA3, IFNG, IFNGe, IL10, IL21, IL4, IL9, TBET, TGFB,
GATA3 ,BCL6, GATA3, IFNG, IL2, IL21, IL4, TBET, TGFB,,,
IL2 ,FOXP3, IFNG, IL10, IL2, IL21, IL2e,,,,,
IL4 ,GATA3, IFNG, IL2, IL21, IL4, IL4e, TBET,,,,
RORGT ,BCL6, FOXP3, GATA3, IL21, TBET, TGFB,,,,,
IL21 ,BCL6, IFNG, IL10, IL2, IL21, IL21e, IL4, IL9, RORGT,,
FOXP3 ,FOXP3, IL2, IL21, RORGT, TGFB,,,,,,
TGFB ,FOXP3, IL21, TGFB, TGFBe,,,,,,,
IL10 ,GATA3, IFNG, IL10, IL10e, IL21, TGFB,,,,,
BCL6 ,IL2, IL21, TBET, TGFB,,,,,,,
IL9 ,IFNG, IL10, IL2, IL21, IL4, TGFB,,,,,
