 APC/C, CDKB1;1, CYCA2;3, CYCB1;1, CYCD3;1, E2Fa, E2Fb, E2Fc, E2Fe, KRP1, MYB3R1/4, MYB77, RBR, SCF
0,0,0,0,1,1,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,1,0,0,0
1,1,1,1,,1,1,0,1,1,0,0,1,1
1,1,1,1,,1,0,0,1,1,1,0,1,1
1,1,0,1,,1,,1,1,1,0,1,0,0
1,1,0,1,,0,,1,0,1,1,0,0,0
1,1,0,1,,1,,1,1,1,0,1,1,1
1,1,0,1,,1,,1,1,1,1,0,1,1
0,0,,0,,1,,0,0,0,0,0,1,1
0,0,,0,,0,,0,0,0,1,0,0,0
0,1,,1,,1,,0,1,1,1,0,1,1
0,1,,1,,1,,0,1,1,1,0,1,1
0,1,,1,,0,,1,0,1,0,1,1,1
0,1,,1,,0,,1,0,1,1,1,0,0
0,1,,1,,0,,1,1,1,0,1,1,1
0,1,,1,,0,,1,1,1,1,0,1,1
1,0,,0,,,,1,0,0,,,0,0
0,0,,0,,,,1,0,0,,,0,0
1,1,,1,,,,0,1,1,,,0,1
1,1,,1,,,,0,1,1,,,0,1
1,1,,1,,,,1,0,1,,,0,0
1,1,,1,,,,1,1,1,,,0,0
1,1,,1,,,,1,1,1,,,1,1
1,1,,1,,,,1,1,1,,,1,1
0,0,,0,,,,1,0,0,,,0,1
0,0,,0,,,,1,0,0,,,0,1
0,1,,1,,,,0,1,1,,,0,1
0,1,,1,,,,0,1,0,,,0,1
0,1,,1,,,,1,0,1,,,1,1
0,1,,1,,,,1,0,0,,,0,0
0,1,,1,,,,1,1,1,,,1,1
0,1,,1,,,,1,1,0,,,1,1
,1,,1,,,,0,0,,,,,0
,0,,0,,,,0,0,,,,,0
,1,,1,,,,0,1,,,,,0
,1,,1,,,,0,1,,,,,0
,1,,1,,,,1,1,,,,,0
,1,,1,,,,0,0,,,,,0
,1,,1,,,,1,1,,,,,0
,1,,1,,,,0,1,,,,,0
,1,,1,,,,0,0,,,,,0
,0,,0,,,,0,0,,,,,0
,1,,1,,,,0,1,,,,,0
,1,,1,,,,0,1,,,,,0
,1,,1,,,,1,0,,,,,0
,1,,1,,,,1,0,,,,,0
,1,,1,,,,1,1,,,,,0
,1,,1,,,,1,1,,,,,0
,0,,0,,,,1,0,,,,,0
,0,,0,,,,0,0,,,,,0
,1,,1,,,,0,1,,,,,0
,1,,1,,,,0,1,,,,,0
,1,,1,,,,1,0,,,,,0
,1,,1,,,,0,0,,,,,0
,1,,1,,,,1,1,,,,,0
,1,,1,,,,0,1,,,,,0
,0,,0,,,,1,0,,,,,0
,0,,0,,,,1,0,,,,,0
,1,,1,,,,0,1,,,,,0
,1,,1,,,,0,1,,,,,0
,1,,1,,,,1,0,,,,,0
,1,,1,,,,1,0,,,,,0
,1,,1,,,,1,1,,,,,0
,1,,1,,,,1,1,,,,,0
,0,,0,,,,,,,,,,
,0,,0,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,0,,0,,,,,,,,,,
,0,,0,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,0,,0,,,,,,,,,,
,0,,0,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,0,,0,,,,,,,,,,
,0,,0,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,0,,0,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,0,,0,,,,,,,,,,
,0,,0,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,0,,0,,,,,,,,,,
,0,,0,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,1,,1,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
,,,0,,,,,,,,,,
