 Bmp2, canWnt, Dkk1, exogen_BMP2_II, exogen_CanWnt_I, exogen_canWnt_II, Fgf8, Foxc1_2, GATAs, Isl1, Mesp1, Nkx2_5, Tbx1, Tbx5,exogen_BMP2_I
0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,0,1,1,1,1,0,1,0,0,1,1,0,
0,,1,,,,0,0,1,0,1,1,,1,
0,,0,,,,0,1,1,1,0,1,,0,
,,1,,,,1,,1,1,,0,,0,
,,1,,,,1,,1,1,,1,,0,
,,1,,,,0,,1,1,,1,,0,
,,1,,,,0,,1,1,,1,,0,
,,,,,,,,,1,,0,,1,
,,,,,,,,,1,,1,,0,
,,,,,,,,,1,,1,,1,
,,,,,,,,,1,,1,,0,
,,,,,,,,,1,,0,,0,
,,,,,,,,,1,,1,,0,
,,,,,,,,,1,,1,,0,
,,,,,,,,,1,,1,,0,
,,,,,,,,,1,,0,,1,
,,,,,,,,,1,,1,,0,
,,,,,,,,,1,,1,,1,
,,,,,,,,,1,,1,,0,
,,,,,,,,,1,,0,,0,
,,,,,,,,,1,,1,,0,
,,,,,,,,,1,,1,,0,
,,,,,,,,,1,,1,,0,
,,,,,,,,,1,,1,,1,
,,,,,,,,,1,,1,,0,
,,,,,,,,,1,,1,,1,
,,,,,,,,,1,,1,,0,
,,,,,,,,,1,,1,,0,
,,,,,,,,,1,,1,,0,
,,,,,,,,,1,,1,,0,
,,,,,,,,,1,,1,,0,
,,,,,,,,,,,0,,0,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,1,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,0,,0,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,1,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,0,,1,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,1,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,1,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,1,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,1,,0,
,,,,,,,,,,,0,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,0,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,0,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,0,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,0,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,0,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
,,,,,,,,,,,1,,,
