 Akt1, CDK2, CDK4, CDK6, cMYC, CycD1, CycE1, ERa, ErbB1, ErbB1_2, ErbB1_3, ErbB2, ErbB2_3, ErbB3, IGF1R, MEK1, p21, p27, pRB,EGF
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,
1,0,0,,1,0,,1,,0,0,,0,,1,1,1,1,0,
1,0,0,,1,0,,1,,1,1,,1,,0,1,0,0,1,
1,1,1,,1,0,,,,,,,,,1,1,0,0,0,
1,0,0,,1,0,,,,,,,,,0,1,0,0,0,
1,0,0,,1,0,,,,,,,,,1,1,0,0,0,
1,0,0,,1,1,,,,,,,,,0,1,0,0,1,
1,,,,,0,,,,,,,,,,1,0,0,,
1,,,,,0,,,,,,,,,,1,0,0,,
1,,,,,0,,,,,,,,,,1,0,0,,
1,,,,,0,,,,,,,,,,1,0,0,,
1,,,,,0,,,,,,,,,,1,0,0,,
1,,,,,1,,,,,,,,,,1,0,0,,
1,,,,,0,,,,,,,,,,1,0,0,,
1,,,,,1,,,,,,,,,,1,0,0,,
1,,,,,,,,,,,,,,,1,,0,,
1,,,,,,,,,,,,,,,1,,0,,
1,,,,,,,,,,,,,,,1,,0,,
1,,,,,,,,,,,,,,,1,,0,,
1,,,,,,,,,,,,,,,1,,0,,
1,,,,,,,,,,,,,,,1,,0,,
1,,,,,,,,,,,,,,,1,,0,,
1,,,,,,,,,,,,,,,1,,0,,
1,,,,,,,,,,,,,,,1,,0,,
1,,,,,,,,,,,,,,,1,,0,,
1,,,,,,,,,,,,,,,1,,0,,
1,,,,,,,,,,,,,,,1,,0,,
1,,,,,,,,,,,,,,,1,,0,,
1,,,,,,,,,,,,,,,1,,0,,
1,,,,,,,,,,,,,,,1,,0,,
1,,,,,,,,,,,,,,,1,,0,,
